2018-03-21 20:35:39 status installed locales:all 2.23-0ubuntu10
2018-03-21 20:35:39 configure libsigsegv2:amd64 2.10-4 <none>
2018-03-21 20:35:39 status unpacked libsigsegv2:amd64 2.10-4
2018-03-21 20:35:39 status half-configured libsigsegv2:amd64 2.10-4
2018-03-21 20:35:39 status installed libsigsegv2:amd64 2.10-4
2018-03-21 20:35:39 configure busybox-initramfs:amd64 1:1.22.0-15ubuntu1 <none>
2018-03-21 20:35:39 status unpacked busybox-initramfs:amd64 1:1.22.0-15ubuntu1
2018-03-21 20:35:39 status half-configured busybox-initramfs:amd64 1:1.22.0-15ubuntu1
2018-03-21 20:35:39 status installed busybox-initramfs:amd64 1:1.22.0-15ubuntu1
2018-03-21 20:35:39 configure keyboard-configuration:all 1.108ubuntu15.3 <none>
2018-03-21 20:35:39 status unpacked keyboard-configuration:all 1.108ubuntu15.3
2018-03-21 20:35:39 status unpacked keyboard-configuration:all 1.108ubuntu15.3
2018-03-21 20:35:39 status unpacked keyboard-configuration:all 1.108ubuntu15.3
2018-03-21 20:35:39 status unpacked keyboard-configuration:all 1.108ubuntu15.3
2018-03-21 20:35:39 status half-configured keyboard-configuration:all 1.108ubuntu15.3
2018-03-21 20:35:40 status installed keyboard-configuration:all 1.108ubuntu15.3
2018-03-21 20:35:40 configure xkb-data:all 2.16-1ubuntu1 <none>
2018-03-21 20:35:40 status unpacked xkb-data:all 2.16-1ubuntu1
2018-03-21 20:35:40 status half-configured xkb-data:all 2.16-1ubuntu1
2018-03-21 20:35:40 status installed xkb-data:all 2.16-1ubuntu1
2018-03-21 20:35:40 configure initramfs-tools-bin:amd64 0.122ubuntu8.10 <none>
2018-03-21 20:35:40 status unpacked initramfs-tools-bin:amd64 0.122ubuntu8.10
2018-03-21 20:35:40 status half-configured initramfs-tools-bin:amd64 0.122ubuntu8.10
2018-03-21 20:35:40 status installed initramfs-tools-bin:amd64 0.122ubuntu8.10
2018-03-21 20:35:40 configure libklibc:amd64 2.0.4-8ubuntu1.16.04.4 <none>
2018-03-21 20:35:40 status unpacked libklibc:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:40 status half-configured libklibc:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:40 status installed libklibc:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:40 configure klibc-utils:amd64 2.0.4-8ubuntu1.16.04.4 <none>
2018-03-21 20:35:40 status unpacked klibc-utils:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:40 status half-configured klibc-utils:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:40 status installed klibc-utils:amd64 2.0.4-8ubuntu1.16.04.4
2018-03-21 20:35:40 configure cpio:amd64 2.11+dfsg-5ubuntu1 <none>
2018-03-21 20:35:40 status unpacked cpio:amd64 2.11+dfsg-5ubuntu1
2018-03-21 20:35:40 status half-configured cpio:amd64 2.11+dfsg-5ubuntu1
2018-03-21 20:35:40 status installed cpio:amd64 2.11+dfsg-5ubuntu1
2018-03-21 20:35:40 configure kmod:amd64 22-1ubuntu5 <none>
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
2018-03-21 20:35:40 status unpacked kmod:amd64 22-1ubuntu5
